MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Coal,0.024336283,0.07833451,0.163376111,0.267616192,0.369000306,0.449256111
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Coal,-0.872787611,-0.928016937,-0.957058243,-0.973013493,-0.983797004,-0.988575983
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Coal,-0.999881778,-1,-1,-1,-1,-1
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Coal,-0.489602967,-0.676082054,-0.999975061,-0.999979618,-1,-1
WITCH,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Coal,0,0.006554365,-0.014104837,-0.031603675,-0.040246651,-0.051618062
WITCH,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Coal,0,-0.095257277,-0.075913437,-0.051613919,-0.058059961,-0.065734826
WITCH,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Coal,-0.489602967,-0.551700534,-0.603129466,-0.58472119,-0.583193622,-0.732987361
REMIND,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Gas,-0.244978338,-0.483534137,-0.623727313,-0.741605419,-0.847794544,-0.828181818
REMIND,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Gas,-0.071090981,-0.276947791,-0.376272687,-0.383484652,-0.439640163,-0.491060606
REMIND,LIMITSEnergyIndependence,LATIN_AM,Secondary Energy|Electricity|Gas,-0.040370224,-0.063614458,-0.083665339,-0.083009079,-0.081688915,-0.10969697
REMIND,LIMITSOilIndependence,LATIN_AM,Secondary Energy|Electricity|Gas,-0.022252855,-0.053333333,-0.082484875,-0.109381755,-0.138856645,-0.167424242
REMIND,LIMITSPledges,LATIN_AM,Secondary Energy|Electricity|Gas,-0.506498622,-0.396144578,-0.316954405,-0.312292838,-0.321387115,-0.403939394
WITCH,LIMITS450,LATIN_AM,Secondary Energy|Electricity|Gas,-0.618157454,-0.723447011,-0.778442381,-0.821525398,-0.859290949,-0.892147299
WITCH,LIMITS500,LATIN_AM,Secondary Energy|Electricity|Gas,-0.42178067,-0.480265016,-0.512415697,-0.548620754,-0.591620669,-0.644566805
