MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Coal,-0.058823529,-0.074509804,-0.100884956,-0.084337349,-0.071942446,-0.078431373
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Coal,-0.456965944,-0.656862745,-0.975221239,-0.959839357,-0.956834532,-0.941176471
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Coal,-0.751785439,-0.827309254,-0.888144406,-0.919979187,-0.94257997,-0.958975234
WITCH,LIMITS500,EUROPE,Secondary Energy|Electricity|Coal,-0.551318693,-0.640712686,-0.659321308,-0.713905707,-0.805439899,-0.835605518
WITCH,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Coal,0,-0.286859991,-0.395484188,-0.408336837,-0.410806766,-0.409164638
WITCH,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Coal,0,-0.00130393,-0.001380754,-0.000558969,-0.000793336,-0.002653806
WITCH,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Coal,-0.707307937,-0.701703565,-0.702857687,-0.706959313,-0.703922756,-0.744311845
REMIND,LIMITS450,EUROPE,Secondary Energy|Electricity|Gas,-0.47751938,-0.619468107,-0.722049405,-0.813722127,-0.871775607,-0.908007666
REMIND,LIMITS500,EUROPE,Secondary Energy|Electricity|Gas,-0.460335917,-0.537814253,-0.593595608,-0.648713551,-0.717505635,-0.781268228
REMIND,LIMITSEnergyIndependence,EUROPE,Secondary Energy|Electricity|Gas,-0.254392765,-0.327965926,-0.334583715,-0.31329331,-0.287002254,-0.270560787
REMIND,LIMITSOilIndependence,EUROPE,Secondary Energy|Electricity|Gas,0.085271318,0.06846042,0.03989021,0.023499142,0.016695884,0.01591534
REMIND,LIMITSPledges,EUROPE,Secondary Energy|Electricity|Gas,-0.585271318,-0.692811137,-0.761573651,-0.812349914,-0.841138659,-0.854762103
WITCH,LIMITS450,EUROPE,Secondary Energy|Electricity|Gas,-0.462431029,-0.478217363,-0.484566056,-0.51423069,-0.564153555,-0.622192259
