MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Coal,-0.800486794,-0.857848946,-0.900856692,-0.930603791,-0.950161899,-0.968413244
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Coal,-0.573961903,-0.677780253,-0.783335179,-0.839801972,-0.879673949,-0.909081357
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Coal,0,-0.390242755,-0.519998108,-0.584846778,-0.64404085,-0.675534298
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Coal,0,0.004410664,0.007855207,0.009043279,0.006369485,0.003603974
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Coal,-0.297026769,-0.299848459,-0.350090006,-0.421272018,-0.47802223,-0.571237161
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Gas,-0.199067542,-0.189777904,-0.358779556,-0.546516804,-0.660839778,-0.750682564
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Gas,-0.147046193,0.05523918,0.120663037,0.002336969,-0.233075538,-0.402350095
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Gas,-0.047297712,-0.048168185,-0.037295848,-0.018732844,-0.00504997,-0.004596509
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Gas,0.089442365,0.127325361,0.159015195,0.1861785,0.207154713,0.216277864
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Gas,-0.173424943,-0.047503797,0.050012188,0.127309148,0.19892644,0.249559357
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Gas,-0.228437078,-0.27704066,-0.327175707,-0.392317413,-0.403870357,-0.432114368
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Gas,-0.182240802,-0.196884329,-0.211838942,-0.239842239,-0.2915103,-0.338332756
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Gas,0,-0.353746271,-0.405915797,-0.457467264,-0.512807626,-0.556635721
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Gas,0,0.054414927,0.06082638,0.074657548,0.066157516,0.044912885
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Gas,-0.092450201,-0.079269199,-0.066760699,-0.049482353,-0.049287239,-0.01817766
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Geothermal,0.718120805,0.532663317,0.350806452,0.169014085,0.05,-0.017857143
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Geothermal,0.684563758,0.477386935,0.322580645,0.169014085,0.05,-0.017857143
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Geothermal,0.516778523,0.43718593,0.274193548,0.147887324,0.05,0
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Geothermal,0.147651007,0.16080402,0.125,0.073943662,0.025,0
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Geothermal,0.610738255,0.296482412,0.120967742,0.038732394,0.0125,-0.014880952
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Hydro,0.655909944,1.15060241,1.65764095,2.017015243,2.104643558,1.978002894
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Hydro,0.609005629,1.006024096,1.392062315,1.68202765,1.799542184,1.702170767
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Hydro,0.089681051,0.166039157,0.271513353,0.400212691,0.550686723,0.681041968
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Hydro,0.00412758,0.004894578,0.005934718,0.007444169,0.011118378,0.021418234
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Hydro,0.422138837,0.481551205,0.515578635,0.533853244,0.551013734,0.576845152
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Hydro,0,0,0,0,0,0
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Nuclear,0.311840294,0.983071989,1.776405637,2.354299459,2.498497897,2.246016518
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Nuclear,0.243919229,0.75445474,1.386023536,1.947324113,2.254456239,2.223909235
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Nuclear,0.070445158,0.212401996,0.381664972,0.552134696,0.700981374,0.801868691
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Nuclear,0.018586508,0.053991447,0.097486561,0.145279615,0.195373523,0.243346959
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Nuclear,0.278109224,0.303100499,0.324277205,0.357546603,0.406969758,0.463502127
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Nuclear,2.37546829,2.80914535,3.291321346,3.529790709,3.412239379,3.269443564
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Nuclear,1.088976318,1.535583076,2.0249432,2.35941757,2.689596639,2.867741164
WITCH,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Nuclear,0,0.699775469,1.024729759,1.180672747,1.321636192,1.443379613
WITCH,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Nuclear,0,0.00284874,0.005327752,0.010425785,0.007864184,0.003024972
WITCH,LIMITSPledges,ASIA,Secondary Energy|Electricity|Nuclear,0.365513678,0.09280701,0.214294582,0.444379243,0.640458986,1.131351618
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITS500,ASIA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSEnergyIndependence,ASIA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSOilIndependence,ASIA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
REMIND,LIMITSPledges,ASIA,Secondary Energy|Electricity|Oil,0,0,0,0,0,0
WITCH,LIMITS450,ASIA,Secondary Energy|Electricity|Oil,0.510050435,0.228266496,0.031940224,-0.184026663,-0.318925049,-0.42296282
WITCH,LIMITS500,ASIA,Secondary Energy|Electricity|Oil,0.627437258,0.738613328,0.703825857,0.570914388,0.400715122,0.270996549
