MODEL,SCENARIO,REGION,VARIABLE,2025,2030,2035,2040,2045,2050
REMIND,LIMITS450,ASIA,Primary Energy|Biomass|w/ CCS,0.5,3.499,12.302,28.811,50.354,68.984
REMIND,LIMITS450,ASIA,Primary Energy|Biomass|w/o CCS,-0.017970624,-0.10232081,-0.222904318,-0.363831544,-0.49961283,-0.627228327
REMIND,LIMITS450,ASIA,Primary Energy|Coal,-0.342878048,-0.596450538,-0.78820974,-0.92056402,-0.994863084,-0.996727613
REMIND,LIMITS450,ASIA,Primary Energy|Coal|Electricity,-0.424269925,-0.653608539,-0.815158919,-0.928142568,-0.999142221,-0.999398
,,,,,,,,,
REMIND,LIMITS450,ASIA,Primary Energy|Coal|Liquids,-0.700987306,-0.925828021,-0.980096044,-0.99527439,-0.999691347,-0.999843982
REMIND,LIMITS450,ASIA,Primary Energy|Coal|w/ CCS,0.022,0.024,0.024,0.023,0.022,0.019
REMIND,LIMITS450,ASIA,Primary Energy|Coal|w/o CCS,-0.343045722,-0.596614738,-0.788355764,-0.920696643,-0.99495923,-0.996803529
REMIND,LIMITS450,ASIA,Primary Energy|Fossil,-0.232994141,-0.377982521,-0.515289224,-0.637224738,-0.730748852,-0.782670876
REMIND,LIMITS450,ASIA,Primary Energy|Fossil|w/ CCS,0.366,1.602,2.746,2.979,2.921,2.79
REMIND,LIMITS450,ASIA,Primary Energy|Fossil|w/o CCS,-0.234476168,-0.383690149,-0.524102031,-0.645912377,-0.738528922,-0.789519906
REMIND,LIMITS450,ASIA,Primary Energy|Gas,-0.207449447,-0.23976665,-0.362694373,-0.482976169,-0.565192349,-0.64435351
REMIND,LIMITS450,ASIA,Primary Energy|Gas|Electricity,-0.193349873,-0.182855661,-0.344094128,-0.522596759,-0.620168417,-0.697080672
REMIND,LIMITS450,ASIA,Primary Energy|Gas|w/ CCS,0.343,1.578,2.724,2.956,2.899,2.77
REMIND,LIMITS450,ASIA,Primary Energy|Gas|w/o CCS,-0.214255948,-0.265337871,-0.400874942,-0.520714669,-0.599978401,-0.675862461
REMIND,LIMITS450,ASIA,Primary Energy|Geothermal,0.706666667,0.59,0.657258065,1.035211268,1.796875,2.889880952
REMIND,LIMITS450,ASIA,Primary Energy|Hydro,0.655909944,1.15060241,1.65764095,2.017015243,2.104643558,1.978002894
REMIND,LIMITS450,ASIA,Primary Energy|Non-Biomass Renewables,1.455308435,2.303208138,3.376355948,4.585849871,5.390818484,5.694293478
REMIND,LIMITS450,ASIA,Primary Energy|Nuclear,0.311840294,0.983071989,1.776405637,2.354299459,2.498497897,2.246016518
REMIND,LIMITS450,ASIA,Primary Energy|Oil,-0.032130235,-0.056535355,-0.067759102,-0.09404158,-0.136211544,-0.186083373
REMIND,LIMITS450,ASIA,Primary Energy|Oil|w/o CCS,-0.032130235,-0.056535355,-0.067759102,-0.09404158,-0.136211544,-0.186083373
REMIND,LIMITS450,ASIA,Primary Energy|Solar,38.4137931,103.1071429,221.3214286,281.525,152.0084746,63.55582524
REMIND,LIMITS450,ASIA,Primary Energy|Wind,2.067708333,2.568988764,3.05267423,3.522461306,3.43921945,3.111767729
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity,-0.160780179,-0.177459545,-0.179244819,-0.156667176,-0.112431326,-0.048199206
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Biomass,9.916666667,3.914893617,2.691119691,2.787628866,3.237623762,3.36622807
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Biomass|w/ CCS,0.038,0.239,0.736,1.626,2.799,3.808
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Biomass|w/o CCS,8.375,1.372340426,-0.150579151,-0.562886598,-0.719943423,-0.809210526
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Coal,-0.462818129,-0.688698458,-0.837650418,-0.937603777,-0.999218551,-0.999454483
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Coal|w/ CCS,0.005,0.005,0.005,0.005,0.005,0.004
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Coal|w/o CCS,-0.463010449,-0.688830702,-0.837763727,-0.937683798,-0.999327591,-0.99953972
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Gas,-0.199067542,-0.189777904,-0.358779556,-0.546516804,-0.660839778,-0.750682564
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Gas|w/ CCS,0.171,0.823,1.444,1.576,1.547,1.48
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Gas|w/o CCS,-0.20949635,-0.228834472,-0.417445356,-0.604978114,-0.715471272,-0.801831692
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Geothermal,0.718120805,0.532663317,0.350806452,0.169014085,0.05,-0.017857143
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Hydro,0.655909944,1.15060241,1.65764095,2.017015243,2.104643558,1.978002894
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Non-Biomass Renewables,1.455098615,2.301310898,3.362382791,4.544356231,5.307506419,5.574305127
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Nuclear,0.311840294,0.983071989,1.776405637,2.354299459,2.498497897,2.246016518
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Oil,-0.003773585,-0.007462687,-0.027027027,0,0,0
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Oil|w/o CCS,-0.003773585,-0.007462687,-0.027027027,0,0,0
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Solar,38.4137931,103.1071429,221.3214286,281.525,152.0084746,63.55582524
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Solar|CSP,5.5,24.85714286,72.375,153.2,341.1,670
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Solar|PV,45,123.2272727,267.4285714,313.8064516,134.5,48.47014925
REMIND,LIMITS450,ASIA,Secondary Energy|Electricity|Wind,2.067708333,2.568988764,3.05267423,3.522461306,3.43921945,3.111767729
